TOT_POP,% NA/AI-alone,% Hawaiian/PI-alone,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
67420.0,0.444971819,0.173539009,9461.0,14752.0,13.0,22389.0,0.929314438
192876.0,2.781061407,0.10732284,39068.0,32585.0,46.0,54357.0,12.46145528
110356.0,0.464859183,0.327123129,16317.0,19472.0,21.0,43454.0,2.593182082
103066.0,0.592824016,0.071798653,16120.0,24000.0,55.0,30823.0,2.357894154
78374.0,0.36236507,0.037002067,13612.0,22702.0,45.0,31148.0,1.063664617
31192.0,0.500128238,0.025647602,4003.0,7493.0,28.0,14068.0,1.033978564
18128.0,1.52250662,0.022065313,1103.0,2585.0,48.0,5867.0,0.330325246
10949.0,15.59046488,0.045666271,1281.0,2703.0,40.0,4521.0,0.347095506
114277.0,0.539916169,0.110258407,14219.0,27115.0,1.0,48041.0,2.361350576
17158.0,1.288028908,0.256440145,1428.0,3829.0,19.0,6011.0,0.641492707
42855.0,0.543693851,0.1073387,6695.0,10445.0,27.0,12304.0,0.969953908
28759.0,0.285128134,0.045203241,3226.0,5924.0,28.0,11512.0,0.95332744
289615.0,0.580425738,0.11601609,33538.0,36959.0,13.0,101186.0,3.992040953
17821.0,0.510633522,0.005611357,1604.0,4680.0,21.0,7134.0,0.4187638
151260.0,0.371545683,0.050905725,45730.0,21650.0,19.0,37379.0,5.655215461
270771.0,0.565422442,0.09860731,51236.0,57385.0,18.0,92042.0,5.341067485
117123.0,0.239064915,0.04439777,16315.0,21894.0,54.0,45840.0,3.632058796
151366.0,3.173103603,0.346841431,12438.0,20569.0,6.0,46947.0,1.373722279
22300.0,0.757847534,0.067264574,1589.0,5211.0,22.0,8867.0,0.75609799
13188.0,1.569608735,0.08340916,1514.0,2777.0,8.0,3444.0,0.206078274
446610.0,1.271131412,1.018562056,78496.0,90069.0,6.0,125524.0,4.053209485
5478.0,14.65863454,0.0,830.0,1628.0,46.0,1872.0,0.353926108
13345.0,0.284750843,0.029973773,1340.0,3148.0,21.0,5930.0,0.313585259
142854.0,27.59040699,0.184804066,29254.0,23195.0,4.0,36031.0,1.653299954
7090.0,1.523272214,0.141043724,2048.0,1982.0,50.0,2373.0,0.158486601
22107.0,2.619079929,0.180938164,4526.0,6449.0,53.0,6674.0,0.269898406
130090.0,0.270581905,0.046890614,29644.0,25034.0,33.0,41304.0,2.685317201
165324.0,1.383949094,0.345987274,18048.0,27635.0,20.0,60820.0,7.892837553
161503.0,0.764072494,0.140554665,30379.0,26064.0,24.0,59415.0,1.336344009
20470.0,0.708353688,0.063507572,2744.0,4743.0,29.0,7182.0,0.407632346
8632.0,0.31278962,0.034754402,586.0,2226.0,54.0,4126.0,0.267683816
136271.0,0.970125705,0.079987672,27833.0,25788.0,48.0,41519.0,2.48310633
16272.0,0.497787611,0.073746313,1337.0,3691.0,29.0,6963.0,0.324034857
30772.0,0.757181854,0.116989471,4113.0,6464.0,51.0,11444.0,0.346820997
1039073.0,4.32924347,0.234632215,216291.0,245814.0,4.0,332209.0,12.02555996
65592.0,0.423832175,0.067081351,8842.0,15574.0,45.0,23910.0,0.890191767
23659.0,1.284923285,0.050720656,2451.0,6311.0,37.0,10847.0,0.255191157
74808.0,1.144262646,0.969147685,7402.0,9667.0,48.0,25149.0,1.363138293
277.0,1.444043321,0.36101083,29.0,32.0,48.0,93.0,0.005047446
125043.0,41.07307086,0.068776341,12385.0,23922.0,35.0,42375.0,2.446642404
7033.0,0.554528651,0.0,504.0,1622.0,21.0,3400.0,0.165263779
2113.0,0.331282537,0.0,510.0,907.0,26.0,904.0,0.030439635
3499.0,2.286367534,0.085738783,338.0,907.0,48.0,1307.0,0.063758166
46248.0,0.380556997,0.082165715,6293.0,10866.0,18.0,16720.0,0.912260504
1937570.0,1.199698592,0.462692961,679498.0,338720.0,6.0,426522.0,17.5844184
11049.0,0.425377862,0.018101186,951.0,3113.0,21.0,4801.0,0.259633086
97493.0,0.32310012,0.045131445,9666.0,25127.0,39.0,37964.0,1.61801068
2922.0,1.984941821,0.06844627,410.0,874.0,46.0,1025.0,0.188786434
7142.0,0.378045365,0.01400168,1082.0,1814.0,31.0,2253.0,0.344278763
